Ranking,State,Score,
1,AZ,-39, 
2,AK,-30, 
3,WY,-28,
4,LA,-27,
5,MT,-25,
6,AR,-24,
7,VA,-22.5,
8,KY,-22, 
9,FL,-20.5,
10,NV,-20.5,
11,ME,-20,
12,MS,-19.5,
13,ID,-19,
14,NM,-19,
15,AL,-18,
16,GA,-18,
17,OK,-17,
18,VT,-17,
19,SC,-16,
20,WV,-15,
21,IN,-14.5,
22,KS,-12,
23,TN,-11,
24,MO,-9,
25,SD,-9,
26,UT,-8.5,
27,NH,-7,
28,OH,-5,
29,ND,-3,
30,TX,-3,
31,NC,-2.5,
32,OR,0,
33,MI,3,
34,NE,3,
35,WI,6,
36,IA,8,
37,MN,12.5,
38,CO,22,
39,PA,23,
40,WA,33,
41,IL,40.5,10
42,DE,41,9
43,RI,55,8
44,MD,56,7
45,HI,62,6
46,NY,65.5,5
47,NJ,69,4
48,MA,70,3
49,CT,73,2
50,CA,76,1