Season,Player 1,Player 2,Player 3,Player 4,Player 5,Player 6,Player 7,Player 8,Player 9,Player 10,Player 11,Player 12,Player 13,Player 14,Player 15,Player 16,Player 17,Player 18,Player 19,Player 20,Player 21,Player 22,Player 23,Player 24,Player 25,Player 26,Player 27,Player 28,Player 29,Player 30
2016-2017,Giannis Antetokounmpo,Carmelo Anthony,Jimmy Butler,DeMar DeRozan,Paul George,Kyrie Irving,LeBron James,Kevin Love (1),Kyle Lowry,Paul Millsap,Isaiah Thomas,Kemba Walker,John Wall,DeMarcus Cousins,Stephen Curry,Anthony Davis,Kevin Durant,Marc Gasol,Draymond Green,James Harden,Gordon Hayward,DeAndre Jordan,Kawhi Leonard,Klay Thompson,Russell Westbrook,,,,,
2015-2016,LaMarcus Aldridge,Kobe Bryant,DeMarcus Cousins,Stephen Curry,Anthony Davis,Kevin Durant,Draymond Green,James Harden,Kawhi Leonard,Chris Paul,Klay Thompson,Russell Westbrook,East Carmelo Anthony,Chris Bosh (1),Jimmy Butler (2),DeMar DeRozan,Andre Drummond,Pau Gasol,Paul George,Al Horford,LeBron James,Kyle Lowry,Paul Millsap,Isaiah Thomas,Dwyane Wade,John Wall,,,,
2014-2015,LaMarcus Aldridge,Kobe Bryant,DeMarcus Cousins,Stephen Curry,Anthony Davis,Tim Duncan,Kevin Durant,Marc Gasol,Blake Griffin,James Harden,Damian Lillard,Dirk Nowitzki,Chris Paul,Klay Thompson,Russell Westbrook,Carmelo Anthony,Chris Bosh,Jimmy Butler,Pau Gasol,Al Horford,Kyrie Irving,LeBron James,Kyle Korver,Kyle Lowry,Paul Millsap,Jeff Teague,Dwyane Wade,John Wall,,
2013-2014,LaMarcus Aldridge,Kobe Bryant (1),Stephen Curry,Anthony Davis,Kevin Durant,Blake Griffin,James Harden,Dwight Howard,Damian Lillard,Kevin Love,Dirk Nowitzki,Tony Parker,Chris Paul,Carmelo Anthony,Chris Bosh,DeMar DeRozan,Paul George,Roy Hibbert,Kyrie Irving,LeBron James,Joe Johnson,Paul Millsap,Joakim Noah,Dwyane Wade,John Wall,,,,,
2012-2013,LaMarcus Aldridge,Kobe Bryant,Tim Duncan,Kevin Durant,Blake Griffin,James Harden,Dwight Howard,David Lee,Tony Parker,Chris Paul,Zach Randolph,Russell Westbrook,Carmelo Anthony,Chris Bosh,Tyson Chandler,Luol Deng,Kevin Garnett,Paul George,Jrue Holiday,Kyrie Irving,LeBron James,Brook Lopez,Joakim Noah,Rajon Rondo (1),Dwyane Wade,,,,,
2011-2012,LaMarcus Aldridge,Kobe Bryant,Andrew Bynum,Kevin Durant,Marc Gasol,Blake Griffin,Kevin Love,Steve Nash,Dirk Nowitzki,Tony Parker,Chris Paul,Russell Westbrook,Carmelo Anthony,Chris Bosh,Luol Deng,Roy Hibbert,Dwight Howard,Andre Iguodala,LeBron James,Joe Johnson (1),Paul Pierce,Rajon Rondo,Derrick Rose,Dwyane Wade,Deron Williams,,,,,
2010-2011,Ray Allen,Chris Bosh,Kevin Garnett,Al Horford,Dwight Howard,LeBron James,Joe Johnson,Paul Pierce,Rajon Rondo,Derrick Rose,Amar'e Stoudemire,Dwyane Wade,Carmelo Anthony,Kobe Bryant,Tim Duncan,Kevin Durant,Pau Gasol,Manu Ginobili,Blake Griffin,Kevin Love,Yao Ming* (1),Dirk Nowitzki,Chris Paul,Russell Westbrook,Deron Williams,,,,,
2009-2010,Carmelo Anthony,Chauncey Billups,Kobe Bryant (1),Tim Duncan,Kevin Durant,Pau Gasol,Chris Kaman,Jason Kidd,Steve Nash,Dirk Nowitzki,Chris Paul (2),Zach Randolph,Brandon Roy (3),Amar'e Stoudemire,Deron Williams,Chris Bosh,Kevin Garnett,Al Horford,Dwight Howard,Allen Iverson* (4),LeBron James,Joe Johnson,David Lee,Paul Pierce,Rajon Rondo,Derrick Rose,Dwyane Wade,Gerald Wallace,,
2008-2009,Ray Allen,Chris Bosh (1),Kevin Garnett,Danny Granger,Devin Harris,Dwight Howard,Allen Iverson*,LeBron James,Joe Johnson,Rashard Lewis,Jameer Nelson (2),Paul Pierce,Dwyane Wade,Mo Williams,Chauncey Billups,Kobe Bryant,Tim Duncan,Pau Gasol,Yao Ming*,Dirk Nowitzki,Shaquille O'Neal*,Tony Parker,Chris Paul,Brandon Roy,Amar'e Stoudemire,David West,,,,
2007-2008,Ray Allen,Chauncey Billups,Chris Bosh,Caron Butler (1),Kevin Garnett (2),Richard Hamilton,Dwight Howard,LeBron James,Antawn Jamison,Joe Johnson,Jason Kidd,Paul Pierce,Dwyane Wade,Rasheed Wallace,Carmelo Anthony,Carlos Boozer,Kobe Bryant,Tim Duncan,Allen Iverson*,Yao Ming*,Steve Nash,Dirk Nowitzki,Chris Paul,Brandon Roy,Amar'e Stoudemire,David West,,,,
2006-2007,Ray Allen,Carmelo Anthony,Carlos Boozer (1),Kobe Bryant,Tim Duncan,Kevin Garnett,Josh Howard,Allen Iverson* (2),Shawn Marion,Tracy McGrady*,Yao Ming* (3),Steve Nash (4),Dirk Nowitzki,Mehmet Okur,Tony Parker,Amar'e Stoudemire,Gilbert Arenas,Chauncey Billups,Chris Bosh,Caron Butler,Vince Carter,Richard Hamilton,Dwight Howard,LeBron James,Joe Johnson,Jason Kidd (5),Jermaine O'Neal,Shaquille O'Neal*,Dwyane Wade,
2005-2006,Ray Allen,Elton Brand,Kobe Bryant,Tim Duncan,Kevin Garnett,Pau Gasol,Shawn Marion,Tracy McGrady*,Yao Ming*,Steve Nash,Dirk Nowitzki,Tony Parker,Gilbert Arenas,Chauncey Billups,Chris Bosh,Vince Carter,Richard Hamilton,Allen Iverson*,LeBron James,Jermaine O'Neal (1),Shaquille O'Neal*,Paul Pierce,Dwyane Wade,Ben Wallace,Rasheed Wallace,,,,,
2004-2005,Ray Allen,Kobe Bryant,Tim Duncan,Kevin Garnett,Manu Ginobili,Rashard Lewis,Shawn Marion,Tracy McGrady*,Yao Ming*,Steve Nash,Dirk Nowitzki,Amar'e Stoudemire,Gilbert Arenas,Vince Carter,Grant Hill,Zydrunas Ilgauskas,Allen Iverson*,LeBron James,Antawn Jamison,Jermaine O'Neal,Shaquille O'Neal*,Paul Pierce,Dwyane Wade,Ben Wallace,,,,,,
2003-2004,Ray Allen,Kobe Bryant,Sam Cassell,Tim Duncan,Steve Francis,Kevin Garnett,Andrei Kirilenko,Brad Miller,Yao Ming*,Dirk Nowitzki,Shaquille O'Neal*,Peja Stojakovic,Metta World Peace,Vince Carter,Baron Davis,Allen Iverson*,Jason Kidd,Jamaal Magloire,Kenyon Martin,Tracy McGrady*,Jermaine O'Neal,Paul Pierce,Michael Redd,Ben Wallace,,,,,,
2002-2003,Kobe Bryant,Tim Duncan,Steve Francis,Kevin Garnett,Stephon Marbury,Shawn Marion,Yao Ming*,Steve Nash,Dirk Nowitzki,Shaquille O'Neal*,Gary Payton*,Peja Stojakovic,Chris Webber (1),Vince Carter,Zydrunas Ilgauskas,Allen Iverson*,Michael Jordan*,Jason Kidd,Jamal Mashburn,Tracy McGrady*,Brad Miller,Jermaine O'Neal,Paul Pierce,Antoine Walker,Ben Wallace,,,,,
2001-2002,Shareef Abdur-Rahim,Ray Allen,Vince Carter (1),Baron Davis,Allen Iverson*,Michael Jordan*,Jason Kidd,Tracy McGrady*,Alonzo Mourning*,Dikembe Mutombo*,Jermaine O'Neal,Paul Pierce,Antoine Walker,Elton Brand,Kobe Bryant,Tim Duncan,Steve Francis,Kevin Garnett,Karl Malone* (2),Steve Nash,Dirk Nowitzki,Shaquille O'Neal* (3),Gary Payton*,Peja Stojakovic,Wally Szczerbiak,Chris Webber,,,,
2000-2001,Ray Allen,Vince Carter,Antonio Davis,Grant Hill (1),Allan Houston,Allen Iverson*,Stephon Marbury,Anthony Mason,Tracy McGrady*,Alonzo Mourning* (2),Dikembe Mutombo*,Theo Ratliff (3),Glenn Robinson,Latrell Sprewell,Jerry Stackhouse,Kobe Bryant,Vlade Divac,Tim Duncan,Michael Finley,Kevin Garnett,Jason Kidd,Karl Malone*,Antonio McDyess,Shaquille O'Neal* (4),Gary Payton*,David Robinson*,Rasheed Wallace,Chris Webber,,