state,year,grade,gunlawrank
Alabama,2016,F,37
Alaska,2016,F,44
Arizona,2016,F,47
Arkansas,2016,F,38
California,2016,A,1
Colorado,2016,C,14
Connecticut,2016,A-,2
Delaware,2016,B,11
Florida,2016,F,26
Georgia,2016,F,29
Hawaii,2016,A-,7
Idaho,2016,F,46
Illinois,2016,B+,8
Indiana,2016,D-,24
Iowa,2016,C,16
Kansas,2016,F,48
Kentucky,2016,F,42
Louisiana,2016,F,43
Maine,2016,F,36
Maryland,2016,A-,5
Massachusetts,2016,A-,4
Michigan,2016,C,16
Minnesota,2016,C+,12
Mississippi,2016,F,50
Missouri,2016,F,48
Montana,2016,F,38
Nebraska,2016,D,20
Nevada,2016,C-,18
New Hampshire,2016,D,23
New Jersey,2016,A-,3
New Mexico,2016,F,29
New York,2016,A-,5
North Carolina,2016,D-,23
North Dakota,2016,F,29
Ohio,2016,D,21
Oklahoma,2016,F,27
Oregon,2016,C,15
Pennsylvania,2016,C,13
Rhode Island,2016,B+,9
South Carolina,2016,F,29
South Dakota,2016,F,40
Tennessee,2016,F,27
Texas,2016,F,34
Utah,2016,F,29
Vermont,2016,F,41
Virginia,2016,D,21
Washington,2016,B,10
West Virginia,2016,F,34
Wisconsin,2016,C-,19
Wyoming,2016,F,45