Sex,Race,State,Ethnicity,Age Group,First Year,Last Year,Cause of Death,Deaths,Population,Crude Rate,Age-Adjusted Rate
Both Sexes,All Races,Alabama,Both,All Ages,2016,2016,Suicide Firearm,550,4863300,11.31,10.69148914
Both Sexes,All Races,Alaska,Both,All Ages,2016,2016,Suicide Firearm,113,741894,15.23,14.44225426
Both Sexes,All Races,Arizona,Both,All Ages,2016,2016,Suicide Firearm,755,6931071,10.89,10.15203638
Both Sexes,All Races,Arkansas,Both,All Ages,2016,2016,Suicide Firearm,331,2988248,11.08,10.38055725
Both Sexes,All Races,California,Both,All Ages,2016,2016,Suicide Firearm,1595,39250017,4.06,3.863205646
Both Sexes,All Races,Colorado,Both,All Ages,2016,2016,Suicide Firearm,613,5540545,11.06,10.73278519
Both Sexes,All Races,Connecticut,Both,All Ages,2016,2016,Suicide Firearm,110,3576452,3.08,2.725423437
Both Sexes,All Races,Delaware,Both,All Ages,2016,2016,Suicide Firearm,65,952065,6.83,5.874584688
Both Sexes,All Races,District of Columbia,Both,All Ages,2016,2016,Suicide Firearm,P,681170,.,.
Both Sexes,All Races,Florida,Both,All Ages,2016,2016,Suicide Firearm,1672,20612439,8.11,7.097251563
Both Sexes,All Races,Georgia,Both,All Ages,2016,2016,Suicide Firearm,871,10310371,8.45,8.090125371
Both Sexes,All Races,Hawaii,Both,All Ages,2016,2016,Suicide Firearm,37,1428557,2.59,2.426239831
Both Sexes,All Races,Idaho,Both,All Ages,2016,2016,Suicide Firearm,215,1683140,12.77,12.78695874
Both Sexes,All Races,Illinois,Both,All Ages,2016,2016,Suicide Firearm,506,12801539,3.95,3.725328406
Both Sexes,All Races,Indiana,Both,All Ages,2016,2016,Suicide Firearm,591,6633053,8.91,8.523856556
Both Sexes,All Races,Iowa,Both,All Ages,2016,2016,Suicide Firearm,228,3134693,7.27,7.216930746
Both Sexes,All Races,Kansas,Both,All Ages,2016,2016,Suicide Firearm,257,2907289,8.84,8.775027518
Both Sexes,All Races,Kentucky,Both,All Ages,2016,2016,Suicide Firearm,495,4436974,11.16,10.84121394
Both Sexes,All Races,Louisiana,Both,All Ages,2016,2016,Suicide Firearm,440,4681666,9.4,9.089773549
Both Sexes,All Races,Maine,Both,All Ages,2016,2016,Suicide Firearm,112,1331479,8.41,7.424449527
Both Sexes,All Races,Maryland,Both,All Ages,2016,2016,Suicide Firearm,251,6016447,4.17,3.920677437
Both Sexes,All Races,Massachusetts,Both,All Ages,2016,2016,Suicide Firearm,140,6811779,2.06,1.887946617
Both Sexes,All Races,Michigan,Both,All Ages,2016,2016,Suicide Firearm,717,9928300,7.22,6.785576103
Both Sexes,All Races,Minnesota,Both,All Ages,2016,2016,Suicide Firearm,332,5519952,6.01,5.767136803
Both Sexes,All Races,Mississippi,Both,All Ages,2016,2016,Suicide Firearm,268,2988726,8.97,8.708606798
Both Sexes,All Races,Missouri,Both,All Ages,2016,2016,Suicide Firearm,650,6093000,10.67,10.26168439
Both Sexes,All Races,Montana,Both,All Ages,2016,2016,Suicide Firearm,162,1042520,15.54,15.64336551
Both Sexes,All Races,Nebraska,Both,All Ages,2016,2016,Suicide Firearm,116,1907116,6.08,6.074735687
Both Sexes,All Races,Nevada,Both,All Ages,2016,2016,Suicide Firearm,334,2940058,11.36,10.89652591
Both Sexes,All Races,New Hampshire,Both,All Ages,2016,2016,Suicide Firearm,123,1334795,9.21,8.646877742
Both Sexes,All Races,New Jersey,Both,All Ages,2016,2016,Suicide Firearm,176,8944469,1.97,1.800379618
Both Sexes,All Races,New Mexico,Both,All Ages,2016,2016,Suicide Firearm,243,2081015,11.68,11.01682089
Both Sexes,All Races,New York,Both,All Ages,2016,2016,Suicide Firearm,490,19745289,2.48,2.302169373
Both Sexes,All Races,North Carolina,Both,All Ages,2016,2016,Suicide Firearm,788,10146788,7.77,7.33811244
Both Sexes,All Races,North Dakota,Both,All Ages,2016,2016,Suicide Firearm,75,757952,9.9,9.922738428
Both Sexes,All Races,Ohio,Both,All Ages,2016,2016,Suicide Firearm,926,11614373,7.97,7.439286536
Both Sexes,All Races,Oklahoma,Both,All Ages,2016,2016,Suicide Firearm,517,3923561,13.18,12.92126012
Both Sexes,All Races,Oregon,Both,All Ages,2016,2016,Suicide Firearm,414,4093465,10.11,9.323233116
Both Sexes,All Races,Pennsylvania,Both,All Ages,2016,2016,Suicide Firearm,976,12784227,7.63,7.045328016
Both Sexes,All Races,Rhode Island,Both,All Ages,2016,2016,Suicide Firearm,35,1056426,3.31,2.828116763
Both Sexes,All Races,South Carolina,Both,All Ages,2016,2016,Suicide Firearm,525,4961119,10.58,9.933801481
Both Sexes,All Races,South Dakota,Both,All Ages,2016,2016,Suicide Firearm,84,865454,9.71,10.3594697
Both Sexes,All Races,Tennessee,Both,All Ages,2016,2016,Suicide Firearm,675,6651194,10.15,9.665771292
Both Sexes,All Races,Texas,Both,All Ages,2016,2016,Suicide Firearm,2016,27862596,7.24,7.280820466
Both Sexes,All Races,Utah,Both,All Ages,2016,2016,Suicide Firearm,309,3051217,10.13,10.94531626
Both Sexes,All Races,Vermont,Both,All Ages,2016,2016,Suicide Firearm,69,624594,11.05,9.583719359
Both Sexes,All Races,Virginia,Both,All Ages,2016,2016,Suicide Firearm,671,8411808,7.98,7.440374549
Both Sexes,All Races,Washington,Both,All Ages,2016,2016,Suicide Firearm,515,7288000,7.07,6.615764902
Both Sexes,All Races,West Virginia,Both,All Ages,2016,2016,Suicide Firearm,238,1831102,13,12.12202659
Both Sexes,All Races,Wisconsin,Both,All Ages,2016,2016,Suicide Firearm,455,5778708,7.87,7.490401229
Both Sexes,All Races,Wyoming,Both,All Ages,2016,2016,Suicide Firearm,87,585501,14.86,14.954734
Both Sexes,All Races,,Both,All Ages,2016,2016,Suicide Firearm,S,323127513,.,.